iter	Passed	Remaining
1073	11924	333
1074	11937	322
1075	11950	310
1076	11962	299
1077	11974	288
1078	11986	277
1079	11997	266
1080	12009	255
1081	12021	244
1082	12033	233
1083	12046	222
1084	12057	211
1085	12070	200
1086	12081	188
1087	12093	177
1088	12106	166
1089	12118	155
1090	12129	144
1091	12140	133
1092	12154	122
1093	12166	111
1094	12177	100
1095	12188	88
1096	12201	77
1097	12214	66
1098	12225	55
1099	12238	44
1100	12250	33
1101	12263	22
1102	12276	11
1103	12288	0
