iter	MAE	RMSE
605	0.6036722165	0.8034842689
606	0.6035333765	0.8034052026
607	0.6034082161	0.8033071818
608	0.6033915871	0.8032764711
609	0.6033869717	0.8032685038
610	0.603322788	0.8032057643
611	0.6033118764	0.8031953004
612	0.6032131833	0.8031239101
613	0.6032128788	0.8030960235
614	0.6031339062	0.8030384304
615	0.6030164538	0.8028516725
616	0.6030051952	0.8028095048
617	0.6029601795	0.8027373086
618	0.6028830506	0.8026177243
619	0.602850393	0.8025678099
620	0.6028192721	0.8025438817
621	0.6027762254	0.8024977775
622	0.6027427518	0.8024691896
623	0.6027095346	0.8024386779
624	0.6027002684	0.8024129122
625	0.6026588053	0.8023607477
626	0.6026347935	0.8023076094
627	0.6025595088	0.8022616631
628	0.6025539271	0.8022189004
629	0.6024895838	0.802131984
630	0.602479829	0.8021115094
631	0.6024595689	0.8020619942
632	0.6023701859	0.8019465153
633	0.6023227594	0.8018936552
634	0.6022839712	0.8018567494
635	0.6022535914	0.8018290022
636	0.6022123046	0.8017125149
637	0.6021892016	0.8016723831
638	0.6021669739	0.8016488506
639	0.6021414972	0.8016306918
640	0.6020257555	0.8015471503
641	0.6019953928	0.8015187489
642	0.6019846377	0.8015042835
643	0.6019516924	0.8014591952
644	0.6018498933	0.8013205344
645	0.6017977077	0.8012615457
646	0.6017533958	0.8011883973
647	0.6016148155	0.8011039479
648	0.6015831153	0.8010550728
649	0.6015077332	0.8009454234
650	0.6014559749	0.8008934883
651	0.6014062602	0.8008556708
652	0.6012971764	0.8007980974
653	0.601214704	0.8006969567
654	0.6011052193	0.8005400692
655	0.6011031151	0.8005246076
656	0.6010736949	0.8004748997
657	0.6010506765	0.800438645
658	0.6010384816	0.8004048187
659	0.6010256527	0.8003946473
660	0.6009869547	0.8003290189
661	0.6009731162	0.8003093722
662	0.6009534533	0.8002766263
663	0.6009433604	0.8002424061
664	0.6007937545	0.8001639275
665	0.6007950829	0.8001570131
666	0.6007723382	0.8001234267
667	0.6007608524	0.8001141574
668	0.6007038111	0.8000707531
669	0.6006482786	0.7999818848
670	0.6006102596	0.7999144279
671	0.6005892272	0.7998701398
672	0.6004315762	0.799725346
673	0.6004069181	0.7996945003
674	0.6003468342	0.7996237262
675	0.6003097531	0.7995254377
676	0.6002832517	0.7994932212
677	0.6002081179	0.7994154247
678	0.6001817162	0.7993702494
679	0.6000647475	0.7992790892
680	0.6000241	0.7991844423
681	0.6000137713	0.7991358036
682	0.5999382575	0.7990361011
683	0.5999083848	0.7990049492
684	0.5998771255	0.7989847379
685	0.5998486221	0.7989649156
686	0.5998072703	0.7989215821
687	0.5997503302	0.79886015
688	0.5996764879	0.7988070114
689	0.5995956764	0.7987269472
690	0.5995257232	0.7986269875
691	0.5995196283	0.7986188975
692	0.5993877206	0.7985230858
693	0.5993415058	0.7984102925
694	0.5993040774	0.7983606427
695	0.5992694823	0.7983390941
696	0.5992556486	0.7983032627
697	0.599144743	0.7981991174
698	0.5991008938	0.7981626469
699	0.5989912803	0.7980843174
700	0.5989332698	0.7980042029
701	0.5989257252	0.7979423882
702	0.598884695	0.7978970779
703	0.5988124773	0.7977699554
704	0.5986626844	0.7975562584
705	0.5985804616	0.7974677197
706	0.5985764421	0.7974585409
707	0.5985179043	0.7974126946
708	0.5985059413	0.7974019355
709	0.5984034487	0.7973343442
710	0.59830183	0.7971854847
711	0.5981453224	0.7970900779
712	0.5980427934	0.7969709013
713	0.5980191565	0.7969349285
714	0.5979821453	0.7968674515
715	0.5979609777	0.7968546831
716	0.5978767483	0.7967909797
717	0.5978424724	0.796733521
718	0.5977573221	0.7966393062
719	0.5977518493	0.7966117841
720	0.5977168473	0.7965823645
721	0.5976623266	0.7965394527
722	0.597606432	0.7964395569
723	0.5975705993	0.796376944
724	0.597565116	0.7963664292
725	0.5975791737	0.7963376513
726	0.5975767681	0.7963151284
727	0.5975208684	0.796240373
728	0.5974477953	0.7961394856
729	0.5974128864	0.7960734045
730	0.5972731675	0.7959860771
731	0.5972220556	0.7959066608
732	0.5971432372	0.7957750296
733	0.597135058	0.795765645
734	0.5970888558	0.7957142188
735	0.5970482059	0.7956417382
736	0.5970491258	0.7956231052
737	0.5970030327	0.7955569305
738	0.5969911821	0.7955482477
739	0.5969894591	0.795544172
740	0.5968887784	0.7953630974
741	0.5968821171	0.7953590242
742	0.5967717938	0.7952749663
743	0.5967018055	0.7951881237
744	0.5966754693	0.795171753
745	0.5966335939	0.7951485912
746	0.5966223625	0.7951417094
747	0.5965155434	0.7950506508
748	0.5965068673	0.7950349128
749	0.5964054173	0.7949061581
750	0.596323226	0.7948229885
751	0.5962598189	0.7947614092
752	0.5962596578	0.7947611653
753	0.5962412483	0.7947128375
754	0.5961120892	0.7946411319
755	0.5960085792	0.7945654115
756	0.596008521	0.794565411
757	0.5959746956	0.7944824503
758	0.5958982713	0.7944202483
759	0.5957567981	0.7942358702
760	0.5957286609	0.7941902306
761	0.5957172282	0.7941814823
762	0.5957148762	0.7941685841
763	0.5956470382	0.7941041038
764	0.5956453393	0.7941001377
765	0.5956020113	0.7940783427
766	0.5955315367	0.7939845444
767	0.5955052093	0.7939691118
768	0.5954550255	0.7939332508
769	0.5954329738	0.7939166447
770	0.5953495308	0.7937896171
771	0.5953168444	0.7937634758
772	0.5952750568	0.7937095108
773	0.5951744438	0.7936376076
774	0.5951666898	0.7936115044
775	0.5951450143	0.7935872047
776	0.5951077756	0.7935260335
777	0.5950909637	0.7934869275
778	0.595069429	0.7934779556
779	0.5949890063	0.7932826661
780	0.5949205881	0.7931827924
781	0.5949012351	0.7931506689
782	0.5948794385	0.793129464
783	0.5948407449	0.793072318
784	0.5948389609	0.7930682747
785	0.5948098113	0.7930417291
786	0.5947492149	0.7929770661
787	0.5947050913	0.7929503596
788	0.5946694088	0.7929191987
789	0.5945940405	0.7928456798
790	0.5945668705	0.7928192436
791	0.5945531012	0.7927883647
792	0.5944679746	0.7926623052
793	0.5944590166	0.7926485742
794	0.5942384793	0.7924873208
795	0.5942307997	0.7924743683
796	0.5941798318	0.7923907548
797	0.5941632429	0.792383043
798	0.594157559	0.7923723492
799	0.5941379776	0.7923612762
800	0.5940946782	0.7923290165
801	0.5940934449	0.7923277709
802	0.5940652649	0.7923009828
803	0.5940125447	0.7922188891
804	0.5939247998	0.7921402676
805	0.5938982334	0.7921058399
806	0.5938966115	0.7921022321
807	0.5938400127	0.7920396768
808	0.593821877	0.7920146704
809	0.593809665	0.7919942454
810	0.5937755024	0.7919284557
811	0.5937438415	0.791898373
812	0.5936988873	0.791812362
813	0.5936647628	0.791762599
814	0.5934998819	0.7916223011
815	0.5933998908	0.7914844501
816	0.5933518397	0.7914449261
817	0.593335534	0.7914070956
818	0.5932849296	0.7913435532
819	0.5932369498	0.791287798
820	0.5931901711	0.791239582
821	0.5931622919	0.7911777883
822	0.5931423471	0.7911440508
823	0.5930722984	0.7910566494
824	0.5930489009	0.791027428
825	0.5929720784	0.7909060983
826	0.5929482576	0.7908900638
827	0.5928332073	0.7907987088
828	0.592784379	0.7907375997
829	0.5926859793	0.7906256054
830	0.5926662487	0.7905904936
831	0.5925549505	0.790484593
832	0.5924744394	0.7903415044
833	0.5924517435	0.7903086939
834	0.5924431394	0.7902960875
835	0.5924217348	0.7902508305
836	0.5924189246	0.7902273055
837	0.5923738087	0.7901726675
838	0.5922880976	0.7900433899
839	0.5922771064	0.7900370893
